cellnumber     x-coordinate     y-coordinate     y-coordinate     x-coordinate 
         1 -4.673350602E-03  1.993164420E-03  1.945594745E-03 -4.718454719E-03 
         2 -4.616400227E-03  1.971903723E-03  1.941195501E-03 -4.618455788E-03 
         3 -4.514963832E-03  1.974394312E-03  1.936762355E-03 -4.517952941E-03 
         4 -4.460358527E-03  1.995654777E-03  1.933136697E-03 -4.416522146E-03 
         5 -3.792016068E-03  1.983681461E-03  1.938266303E-03 -3.804586373E-03 
         6 -3.703724593E-03  1.970618265E-03  1.940709876E-03 -3.705521991E-03 
         7 -3.603290766E-03  1.977774780E-03  1.941697752E-03 -3.607061421E-03 
         8 -3.502875334E-03  1.981540350E-03  1.938766576E-03 -3.509147931E-03 
         9 -3.401297145E-03  1.972122584E-03  1.932905906E-03 -3.406640362E-03 
        10 -3.298668889E-03  1.954471460E-03  1.937228295E-03 -3.300266113E-03 
        11 -3.201200394E-03  1.944895834E-03  1.943163964E-03 -3.201366508E-03 
        12 -3.105436452E-03  1.940984628E-03  1.941788315E-03 -3.105180951E-03 
        13 -3.006401239E-03  1.936705317E-03  1.939727861E-03 -3.005310109E-03 
        14 -2.905475209E-03  1.935322420E-03  1.935561470E-03 -2.904892689E-03 
        15 -2.802295377E-03  1.935575623E-03  1.932500257E-03 -2.802616471E-03 
        16 -2.699287143E-03  1.935369568E-03  1.932111083E-03 -2.699786421E-03 
        17  3.431458317E-04  7.561873063E-04  7.545210465E-04  3.646647098E-04 
        18  3.323719138E-04  7.229027688E-04  7.337235786E-04  3.048880123E-04 
        19  3.013199021E-04  6.946611102E-04  6.897420585E-04  3.052172729E-04 
        20  2.686859516E-04  6.734058261E-04  6.898105087E-04  2.419986590E-04 
        21  2.450350148E-04  6.548633683E-04  6.495429494E-04  2.473789752E-04 
        22  2.125407918E-04  6.350236945E-04  6.418800939E-04  2.093977018E-04 
        23 -1.017730101E-03  1.860379562E-04  1.977556957E-04 -1.019009077E-03 
        24 -9.063403122E-04  1.880176424E-04  1.984103759E-04 -9.069970064E-04 
        25 -7.947573904E-04  1.889245614E-04  1.938604447E-04 -7.950795716E-04 
        26 -6.845675525E-04  1.899150666E-04  1.869981581E-04 -6.853314307E-04 
        27 -5.748457625E-04  1.930949365E-04  1.774708527E-04 -5.775250902E-04 
        28 -4.807267396E-04  2.043241548E-04  1.637269837E-04 -4.703043525E-04 
